alpha,CL,CD,CM
-3.0,-0.534707383580339,0.02396499867056503,-0.0048593912553548425
-2.8461538461538463,-0.5860508718626742,0.026683589706278474,0.017181274874358107
-2.6923076923076925,-0.5616422764854195,0.023273007588051148,0.012228791320131204
-2.5384615384615383,-0.5230556127845021,0.019175679791128178,0.002392039434736531
-2.3846153846153846,-0.46961346625596256,0.014830067682238292,-0.011214619002430617
-2.230769230769231,-0.40357165098273795,0.011520817351331479,-0.02393858630856675
-2.0769230769230766,-0.35532696266742114,0.010655899363493437,-0.026601407546526408
-1.923076923076923,-0.3441651671455646,0.009194204436258128,-0.02906727467215437
-1.7692307692307692,-0.2591088535455044,0.01020639785129018,-0.025017020571324742
-1.6153846153846154,-0.21760780341215594,0.009065125979919285,-0.029016317230088726
-1.4615384615384615,-0.17738827364302295,0.008202989930445362,-0.03281958932536308
-1.3076923076923075,-0.13777585051095248,0.0076044810530322676,-0.036283125967497956
-1.1538461538461537,-0.09843517913201531,0.0071791124473193045,-0.039689228939970164
-1.0,-0.07156912770125333,0.006889116396817148,-0.04222746543996914
-0.8461538461538458,-0.03835262433843545,0.006726308153691579,-0.0449807085904762
-0.6923076923076921,0.01306807311787204,0.00671161466059299,-0.048228426743369635
-0.5384615384615383,0.05424268899840732,0.0067694098524046665,-0.05137817725935949
-0.3846153846153846,0.09107148034531928,0.006832513365043435,-0.05384721253534988
-0.23076923076923084,0.12759134237566494,0.006919618622182594,-0.05619953647162864
-0.07692307692307665,0.16380354467113248,0.0070266132535391854,-0.05838440008871894
0.0769230769230771,0.19969727218310196,0.007150064967473312,-0.060342831337131045
0.23076923076923084,0.23531097218389974,0.007286178702274694,-0.06202746207744014
0.384615384615385,0.2706824310374588,0.0074347231308695685,-0.06339213492651577
0.5384615384615388,0.3059529506863997,0.0076022319372121335,-0.06436113017423481
0.6923076923076925,0.3417594162665464,0.007794852530139701,-0.06506681154473613
0.8461538461538463,0.37946774057443405,0.008031597645439124,-0.06532932552227953
1.0,0.41378869602233964,0.008425437001329507,-0.06592401752067531
1.1538461538461542,0.42772511708062405,0.009461069654586284,-0.06732460010137718
1.3076923076923084,0.522905423478013,0.008437388372328818,-0.06149734977130771
1.4615384615384617,0.5535799735329743,0.01009006081162275,-0.06572522065925243
1.6153846153846159,0.6637578638760889,0.014338062517158433,-0.09684105165310603
1.7692307692307692,0.6962703181048653,0.017817255797481578,-0.10473664531144929
1.9230769230769234,0.7198439800062796,0.02104105802082984,-0.1092220845132831
2.0769230769230775,0.7393990241589325,0.02415401137971108,-0.11220286997321723
2.230769230769231,0.7557556945987065,0.02716258487374367,-0.1139650584105546
2.384615384615385,0.7710356970730854,0.030195059262563658,-0.11540542261014725
2.5384615384615383,0.7853662106839252,0.033246371687390974,-0.11656208684299621
2.6923076923076925,0.7991833531854793,0.0363459213796999,-0.1176108878664436
2.8461538461538467,0.8121699810071574,0.039456393832059795,-0.11839795749285897
3.0,0.8253827161274231,0.042665558501323905,-0.11937242335305769
