alpha,CL,CD,CM
-2.0,-0.33010558203290397,0.01242234760921494,-0.018442549290134655
-1.8717948717948718,-0.2925317393393112,0.011369776139297945,-0.0210428216486787
-1.7435897435897436,-0.2554671579706648,0.010243468404734633,-0.024455911957380057
-1.6153846153846154,-0.22122361232256432,0.009302049604509602,-0.027736508619851087
-1.4871794871794872,-0.18786814886199926,0.008550220415752968,-0.030878561295179695
-1.358974358974359,-0.1548447272641016,0.007989976178588966,-0.033798494915962755
-1.2307692307692308,-0.12219745075490196,0.00756804249115167,-0.03660202988521692
-1.1025641025641026,-0.08949870552643484,0.007262440788194007,-0.03941337390237959
-0.9743589743589745,-0.05718518022436506,0.00706556489700658,-0.0420719302341685
-0.8461538461538463,-0.025401694525120717,0.006954447950484847,-0.044541375156627594
-0.7179487179487181,0.0063113659778327984,0.00690917491900929,-0.04688670386422945
-0.5897435897435899,0.0373846456708893,0.006908510340487441,-0.0490723342791677
-0.4615384615384617,0.06803748444402499,0.006941248680545204,-0.051136849820224026
-0.3333333333333335,0.09859389707543574,0.006997556615587165,-0.0531473597931957
-0.2051282051282053,0.12894708769628244,0.007072812784733265,-0.05506962413013575
-0.0769230769230771,0.15902155492905173,0.007157291203539483,-0.05686593247733187
0.0512820512820511,0.1888964923790696,0.007257393174163704,-0.05851103151334804
0.1794871794871793,0.21855876594998852,0.007367151984905492,-0.05997203922811876
0.3076923076923075,0.2480421375826593,0.007485291972919607,-0.06122469456097818
0.4358974358974357,0.277372368230258,0.007614785883447483,-0.06222880210175029
0.5641025641025639,0.30663860364338175,0.007764025706492128,-0.0629720393968376
0.6923076923076921,0.336341561868704,0.007930082887004829,-0.06353861121482898
0.8205128205128203,0.36723154518025913,0.008119167202480602,-0.06386665618693785
0.9487179487179485,0.4022687870486122,0.008221962477380494,-0.0641266488768411
1.0769230769230766,0.41321896804029196,0.009059827742101555,-0.06515874366625271
1.2051282051282048,0.43210849954345854,0.009909452909232569,-0.06583662106287318
1.333333333333333,0.5255964770510212,0.008691124274358657,-0.06050353852710617
1.4615384615384612,0.5910278660999924,0.010486704923353964,-0.07439507554558075
1.5897435897435894,0.6488037496104029,0.013511879054846281,-0.09148480549426263
1.7179487179487176,0.6807113656409504,0.016485845252962237,-0.09985207091650106
1.8461538461538458,0.7035332950538784,0.019262364845328745,-0.10480487846511431
1.974358974358974,0.7218127921351729,0.021901599456665807,-0.10802503316462816
2.102564102564102,0.7374382536808541,0.02446332802079723,-0.11024549774862634
2.23076923076923,0.7514892550659861,0.02700259018981079,-0.11189633847915711
2.3589743589743586,0.7643030284318977,0.029519081790839265,-0.11311938465147572
2.4871794871794872,0.776542815431518,0.03206207583020189,-0.1141782286121429
2.615384615384615,0.7880497578974395,0.034605801473120104,-0.11500970148650332
2.7435897435897427,0.7994067310258207,0.03719854291575327,-0.11584830850584185
2.8717948717948714,0.810062261180871,0.03978954122361451,-0.11644736569670724
3.0,0.8206792143056738,0.042428768745537415,-0.11710097443892811
