...Wave Drag Slice...
Inlet Area: 0.000000
Exit Area: 0.000000

Theta:   0.00, Start:   0.73, End:  10.74
         0.00000000,          0.00009934
         0.05263158,          0.42015288
         0.10526316,          0.75242846
         0.15789474,          0.98833614
         0.21052632,          1.14671608
         0.26315789,          1.28462903
         0.31578947,          1.76697349
         0.36842105,          2.27651982
         0.42105263,          2.63320166
         0.47368421,          2.70651338
         0.52631579,          2.34518795
         0.57894737,          1.43066447
         0.63157895,          1.08937681
         0.68421053,          1.00652014
         0.73684211,          0.79961611
         0.78947368,          0.83251354
         0.84210526,          0.70572931
         0.89473684,          0.27221055
         0.94736842,          0.05485340
         1.00000000,          0.00000042

Theta:  20.00, Start:   0.68, End:  10.70
         0.00000000,          0.00010384
         0.05263158,          0.42016896
         0.10526316,          0.75243588
         0.15789474,          0.98834381
         0.21052632,          1.14671743
         0.26315789,          1.66172194
         0.31578947,          2.33486198
         0.36842105,          2.34946809
         0.42105263,          2.11389813
         0.47368421,          1.90298794
         0.52631579,          1.75471118
         0.57894737,          1.58330137
         0.63157895,          1.36952313
         0.68421053,          1.23398643
         0.73684211,          1.08757924
         0.78947368,          0.86949640
         0.84210526,          0.55241750
         0.89473684,          0.32155508
         0.94736842,          0.09940108
         1.00000000,          0.00000042

Theta:  40.00, Start:   0.55, End:  11.16
         0.00000000,          0.00012453
         0.05263158,          0.44302317
         0.10526316,          0.84102518
         0.15789474,          1.43596598
         0.21052632,          1.92723394
         0.26315789,          1.90314195
         0.31578947,          1.78858203
         0.36842105,          1.71949054
         0.42105263,          1.68847137
         0.47368421,          1.66640701
         0.52631579,          1.59166925
         0.57894737,          1.39451655
         0.63157895,          1.22342204
         0.68421053,          1.31164173
         0.73684211,          0.93806453
         0.78947368,          0.62414803
         0.84210526,          0.41972919
         0.89473684,          0.24358442
         0.94736842,          0.06589623
         1.00000000,          0.00000015

Theta:  60.00, Start:  -0.10, End:  12.47
         0.00000000,          0.00000535
         0.05263158,          0.32531305
         0.10526316,          0.94775010
         0.15789474,          1.44102493
         0.21052632,          1.72936367
         0.26315789,          1.66181491
         0.31578947,          1.57688979
         0.36842105,          1.57566655
         0.42105263,          1.60631039
         0.47368421,          1.55716072
         0.52631579,          1.35383707
         0.57894737,          1.24593836
         0.63157895,          1.16825899
         0.68421053,          0.75488969
         0.73684211,          0.45944166
         0.78947368,          0.27741496
         0.84210526,          0.16176585
         0.89473684,          0.08147558
         0.94736842,          0.03500208
         1.00000000,          0.00000010

Theta:  80.00, Start:  -1.04, End:  13.12
         0.00000000,          0.00000258
         0.05263158,          0.13747418
         0.10526316,          0.52958170
         0.15789474,          1.15485380
         0.21052632,          1.60544490
         0.26315789,          1.61747323
         0.31578947,          1.51561662
         0.36842105,          1.52534777
         0.42105263,          1.58400505
         0.47368421,          1.52155233
         0.52631579,          1.33484575
         0.57894737,          1.14591605
         0.63157895,          0.96274368
         0.68421053,          0.63853569
         0.73684211,          0.33002301
         0.78947368,          0.18097557
         0.84210526,          0.11297409
         0.89473684,          0.06498487
         0.94736842,          0.03699372
         1.00000000,          0.00000009

Theta: 100.00, Start:  -1.19, End:  12.97
         0.00000000,          0.00000318
         0.05263158,          0.14848290
         0.10526316,          0.63697802
         0.15789474,          1.25448186
         0.21052632,          1.64445140
         0.26315789,          1.59431154
         0.31578947,          1.50342620
         0.36842105,          1.53364763
         0.42105263,          1.59054474
         0.47368421,          1.49085197
         0.52631579,          1.30951728
         0.57894737,          1.08645473
         0.63157895,          0.81028250
         0.68421053,          0.67605448
         0.73684211,          0.31176863
         0.78947368,          0.17245035
         0.84210526,          0.10136818
         0.89473684,          0.06288800
         0.94736842,          0.03594170
         1.00000000,          0.00000009

Theta: 120.00, Start:  -0.54, End:  12.03
         0.00000000,          0.00001645
         0.05263158,          0.61546955
         0.10526316,          1.25217742
         0.15789474,          1.74944771
         0.21052632,          1.72433387
         0.26315789,          1.58337743
         0.31578947,          1.54963053
         0.36842105,          1.60297239
         0.42105263,          1.60252727
         0.47368421,          1.45358910
         0.52631579,          1.25354310
         0.57894737,          1.12341881
         0.63157895,          0.80078069
         0.68421053,          0.67296802
         0.73684211,          0.51270036
         0.78947368,          0.24669661
         0.84210526,          0.12212384
         0.89473684,          0.06446384
         0.94736842,          0.03187871
         1.00000000,          0.00000009

Theta: 140.00, Start:  -0.59, End:  10.42
         0.00000000,          0.00012453
         0.05263158,          0.45817085
         0.10526316,          0.80676083
         0.15789474,          1.56781565
         0.21052632,          2.14744019
         0.26315789,          1.94489425
         0.31578947,          1.75186493
         0.36842105,          1.65471541
         0.42105263,          1.67592801
         0.47368421,          1.62748625
         0.52631579,          1.47151280
         0.57894737,          1.24945053
         0.63157895,          1.14025056
         0.68421053,          0.95886729
         0.73684211,          0.73857012
         0.78947368,          0.60452095
         0.84210526,          0.42912910
         0.89473684,          0.22959248
         0.94736842,          0.05751835
         1.00000000,          0.00000011

Theta: 160.00, Start:  -0.72, End:  10.55
         0.00000000,          0.00010384
         0.05263158,          0.46768513
         0.10526316,          0.82047653
         0.15789474,          1.05586945
         0.21052632,          1.46615400
         0.26315789,          2.14198983
         0.31578947,          2.52993493
         0.36842105,          2.21128029
         0.42105263,          1.76307573
         0.47368421,          1.63380869
         0.52631579,          1.43224626
         0.57894737,          1.17354470
         0.63157895,          0.90891309
         0.68421053,          0.91050022
         0.73684211,          0.73098062
         0.78947368,          0.46124174
         0.84210526,          0.19860435
         0.89473684,          0.07299414
         0.94736842,          0.02980898
         1.00000000,          0.00000010

Theta: 180.00, Start:  -0.76, End:  10.64
         0.00000000,          0.00009934
         0.05263158,          0.47258898
         0.10526316,          0.82739937
         0.15789474,          1.06248339
         0.21052632,          1.30509487
         0.26315789,          1.84837516
         0.31578947,          2.30942644
         0.36842105,          2.51126927
         0.42105263,          2.31290402
         0.47368421,          1.89488694
         0.52631579,          1.43613752
         0.57894737,          0.94345675
         0.63157895,          0.70500749
         0.68421053,          0.75489903
         0.73684211,          0.78006201
         0.78947368,          0.34189335
         0.84210526,          0.13079662
         0.89473684,          0.06884963
         0.94736842,          0.02868336
         1.00000000,          0.00000010

CDWave:          0.01572425 
Mach:          1.50000000 
Set Name: All 
