alpha,CL,CD,CM
-3.0,-0.6127888134645676,0.029635765913195222,0.0249273457207243
-2.8461538461538463,-0.6116104745065585,0.028638860031739797,0.029010787786082008
-2.6923076923076925,-0.5862351576889426,0.02505850311107116,0.023461240054969367
-2.5384615384615383,-0.5487083931089142,0.02091567026608657,0.013754663531883225
-2.3846153846153846,-0.49630881280943545,0.016400666473230418,-8.187756013055816e-05
-2.230769230769231,-0.43947769729400504,0.012538900655418836,-0.01337040696254293
-2.0769230769230766,-0.3830400229627011,0.010000970016212642,-0.023567926019964235
-1.923076923076923,-0.33306806819012635,0.008760622971686059,-0.027610143718697265
-1.7692307692307692,-0.30335537175798144,0.008212879144636958,-0.027473319070269026
-1.6153846153846154,-0.22843099607291242,0.009502587711581276,-0.020571143009622563
-1.4615384615384615,-0.19063434524747688,0.008723757609804789,-0.0224998545891378
-1.3076923076923075,-0.15388385117399864,0.008090374899256826,-0.024341102784077803
-1.1538461538461537,-0.133232068103988,0.007488564201359871,-0.02673258554510562
-1.0,-0.10631306092288083,0.007026360435835051,-0.028514480911812898
-0.8461538461538458,-0.045099963521158665,0.006918051463718092,-0.030000027658976604
-0.6923076923076921,-0.014187029128720875,0.006664580510736999,-0.03245668311815287
-0.5384615384615383,0.028182861597068905,0.006592517616112969,-0.03422482047182745
-0.3846153846153846,0.057211203726546526,0.006539812148958055,-0.036070152836668506
-0.23076923076923084,0.10245802793654664,0.006486516862012898,-0.03880754133286073
-0.07692307692307665,0.14016857927518653,0.006501352919766418,-0.04116723478107227
0.0769230769230771,0.17761611851618697,0.006556337723893587,-0.043414796857934555
0.23076923076923084,0.21472630795645745,0.006658453206869094,-0.04546698166118897
0.384615384615385,0.24981232378113716,0.006884988771221682,-0.04747706995363332
0.5384615384615388,0.2866129180428136,0.007125192951945561,-0.04909161095777323
0.6923076923076925,0.32885805996070844,0.007218040525253568,-0.04954847245067255
0.8461538461538463,0.36581409599619263,0.007782800939963566,-0.052143766889075745
1.0,0.40392795657177044,0.008726226712152965,-0.05687359926428349
1.1538461538461542,0.47157887598382703,0.010262837845482885,-0.06912644918232107
1.3076923076923084,0.5107440942147653,0.012345851952022164,-0.07740255118522073
1.4615384615384617,0.5594825316753407,0.01514539623039794,-0.0877001331926078
1.6153846153846159,0.5967906566192341,0.01740166306703789,-0.09387102315145626
1.7692307692307692,0.613747110552641,0.01929634415505345,-0.09693322408427277
1.9230769230769234,0.6253882459993433,0.02136920627874156,-0.09993236534215318
2.0769230769230775,0.6939708013606015,0.02420831780560173,-0.10215836822561923
2.230769230769231,0.7165681812349203,0.02700846354176048,-0.10473915262336919
2.384615384615385,0.7332904927228702,0.029734872940029786,-0.10578995103044082
2.5384615384615383,0.7493959535869821,0.03261322553904383,-0.10701531018460878
2.6923076923076925,0.7623302216982248,0.03536694079883525,-0.1071545164062422
2.8461538461538467,0.7754017951029603,0.038236275792243535,-0.10764280669002027
3.0,0.7871142045810867,0.041097142726497934,-0.10754800818470911
